=== 都道府県コード（47件） ===
コード,都道府県名
01,北海道
02,青森県
03,岩手県
04,宮城県
05,秋田県
06,山形県
07,福島県
08,茨城県
09,栃木県
10,群馬県
11,埼玉県
12,千葉県
13,東京都
14,神奈川県
15,新潟県
16,富山県
17,石川県
18,福井県
19,山梨県
20,長野県
21,岐阜県
22,静岡県
23,愛知県
24,三重県
25,滋賀県
26,京都府
27,大阪府
28,兵庫県
29,奈良県
30,和歌山県
31,鳥取県
32,島根県
33,岡山県
34,広島県
35,山口県
36,徳島県
37,香川県
38,愛媛県
39,高知県
40,福岡県
41,佐賀県
42,長崎県
43,熊本県
44,大分県
45,宮崎県
46,鹿児島県
47,沖縄県

=== 市区町村コード（サンプル） ===
総数: 1918 市区町村（全国コード00000を除く）

コード,名称,都道府県
21505,八百津町,岐阜県
21506,白川町,岐阜県
21507,東白川村,岐阜県
21521,御嵩町,岐阜県
21604,白川村,岐阜県
22100,静岡市,静岡県
22101,静岡市葵区,静岡県
22102,静岡市駿河区,静岡県
22103,静岡市清水区,静岡県
22130,浜松市,静岡県
22131,浜松市中区,静岡県
22132,浜松市東区,静岡県
22133,浜松市西区,静岡県
22134,浜松市南区,静岡県
22135,浜松市北区,静岡県
22136,浜松市浜北区,静岡県
22137,浜松市天竜区,静岡県
22203,沼津市,静岡県
22205,熱海市,静岡県
22206,三島市,静岡県
22207,富士宮市,静岡県
22208,伊東市,静岡県
22209,島田市,静岡県
22210,富士市,静岡県
22211,磐田市,静岡県
22212,焼津市,静岡県
22213,掛川市,静岡県
22214,藤枝市,静岡県
22215,御殿場市,静岡県
22216,袋井市,静岡県
22219,下田市,静岡県
22220,裾野市,静岡県
22221,湖西市,静岡県
22222,伊豆市,静岡県
22223,御前崎市,静岡県
22224,菊川市,静岡県
22225,伊豆の国市,静岡県
22226,牧之原市,静岡県
22301,東伊豆町,静岡県
22302,河津町,静岡県
22304,南伊豆町,静岡県
22305,松崎町,静岡県
22306,西伊豆町,静岡県
22325,函南町,静岡県
22341,清水町,静岡県
22342,長泉町,静岡県
22344,小山町,静岡県
22424,吉田町,静岡県
22429,川根本町,静岡県
22461,森町,静岡県
23100,名古屋市,愛知県
23101,名古屋市千種区,愛知県
23102,名古屋市東区,愛知県
23103,名古屋市北区,愛知県
23104,名古屋市西区,愛知県
23105,名古屋市中村区,愛知県
23106,名古屋市中区,愛知県
23107,名古屋市昭和区,愛知県
23108,名古屋市瑞穂区,愛知県
23109,名古屋市熱田区,愛知県
23110,名古屋市中川区,愛知県
23111,名古屋市港区,愛知県
23112,名古屋市南区,愛知県
23113,名古屋市守山区,愛知県
23114,名古屋市緑区,愛知県
23115,名古屋市名東区,愛知県
23116,名古屋市天白区,愛知県
23201,豊橋市,愛知県
23202,岡崎市,愛知県
23203,一宮市,愛知県
23204,瀬戸市,愛知県
23205,半田市,愛知県
23206,春日井市,愛知県
23207,豊川市,愛知県
23208,津島市,愛知県
23209,碧南市,愛知県
23210,刈谷市,愛知県
23211,豊田市,愛知県
23212,安城市,愛知県
23213,西尾市,愛知県
23214,蒲郡市,愛知県
23215,犬山市,愛知県
23216,常滑市,愛知県
23217,江南市,愛知県
23219,小牧市,愛知県
23220,稲沢市,愛知県
23221,新城市,愛知県
23222,東海市,愛知県
23223,大府市,愛知県
23224,知多市,愛知県
23225,知立市,愛知県
23226,尾張旭市,愛知県
23227,高浜市,愛知県
23228,岩倉市,愛知県
23229,豊明市,愛知県
23230,日進市,愛知県
23231,田原市,愛知県
23232,愛西市,愛知県
23233,清須市,愛知県
23234,北名古屋市,愛知県
23235,弥富市,愛知県
23236,みよし市,愛知県
23237,あま市,愛知県
23238,長久手市,愛知県
23302,東郷町,愛知県
23342,豊山町,愛知県
23361,大口町,愛知県
23362,扶桑町,愛知県
23424,大治町,愛知県
23425,蟹江町,愛知県
23427,飛島村,愛知県
23441,阿久比町,愛知県
23442,東浦町,愛知県
23445,南知多町,愛知県
23446,美浜町,愛知県
23447,武豊町,愛知県
23501,幸田町,愛知県
23561,設楽町,愛知県
23562,東栄町,愛知県
23563,豊根村,愛知県
24201,津市,三重県
24202,四日市市,三重県
24203,伊勢市,三重県
24204,松阪市,三重県
24205,桑名市,三重県
24207,鈴鹿市,三重県
24208,名張市,三重県
24209,尾鷲市,三重県
24210,亀山市,三重県
24211,鳥羽市,三重県
24212,熊野市,三重県
24214,いなべ市,三重県
24215,志摩市,三重県
24216,伊賀市,三重県
24303,木曽岬町,三重県
24324,東員町,三重県
24341,菰野町,三重県
24343,朝日町,三重県
24344,川越町,三重県
24441,多気町,三重県
24442,明和町,三重県
24443,大台町,三重県
24461,玉城町,三重県
24470,度会町,三重県
24471,大紀町,三重県
24472,南伊勢町,三重県
24543,紀北町,三重県
24561,御浜町,三重県
24562,紀宝町,三重県
25201,大津市,滋賀県
25202,彦根市,滋賀県
25203,長浜市,滋賀県
25204,近江八幡市,滋賀県
25206,草津市,滋賀県
25207,守山市,滋賀県
25208,栗東市,滋賀県
25209,甲賀市,滋賀県
25210,野洲市,滋賀県
25211,湖南市,滋賀県
25212,高島市,滋賀県
25213,東近江市,滋賀県
25214,米原市,滋賀県
25383,日野町,滋賀県
25384,竜王町,滋賀県
25425,愛荘町,滋賀県
25441,豊郷町,滋賀県
25442,甲良町,滋賀県
25443,多賀町,滋賀県
26100,京都市,京都府
26101,京都市北区,京都府
26102,京都市上京区,京都府
26103,京都市左京区,京都府
26104,京都市中京区,京都府
26105,京都市東山区,京都府
26106,京都市下京区,京都府
26107,京都市南区,京都府
26108,京都市右京区,京都府
26109,京都市伏見区,京都府
26110,京都市山科区,京都府
26111,京都市西京区,京都府
26201,福知山市,京都府
26202,舞鶴市,京都府
26203,綾部市,京都府
26204,宇治市,京都府
26205,宮津市,京都府
26206,亀岡市,京都府
26207,城陽市,京都府
26208,向日市,京都府
26209,長岡京市,京都府
26210,八幡市,京都府
26211,京田辺市,京都府
26212,京丹後市,京都府
26213,南丹市,京都府
26214,木津川市,京都府
26303,大山崎町,京都府
26322,久御山町,京都府
26343,井手町,京都府
26344,宇治田原町,京都府
26364,笠置町,京都府
26365,和束町,京都府
26366,精華町,京都府
26367,南山城村,京都府
26407,京丹波町,京都府
26463,伊根町,京都府
26465,与謝野町,京都府
27100,大阪市,大阪府
27102,大阪市都島区,大阪府
27103,大阪市福島区,大阪府
27104,大阪市此花区,大阪府
27106,大阪市西区,大阪府
27107,大阪市港区,大阪府
27108,大阪市大正区,大阪府
27109,大阪市天王寺区,大阪府
27111,大阪市浪速区,大阪府
27113,大阪市西淀川区,大阪府
27114,大阪市東淀川区,大阪府
27115,大阪市東成区,大阪府
27116,大阪市生野区,大阪府
27117,大阪市旭区,大阪府
27118,大阪市城東区,大阪府
27119,大阪市阿倍野区,大阪府
27120,大阪市住吉区,大阪府
27121,大阪市東住吉区,大阪府
27122,大阪市西成区,大阪府
27123,大阪市淀川区,大阪府
27124,大阪市鶴見区,大阪府
27125,大阪市住之江区,大阪府
27126,大阪市平野区,大阪府
27127,大阪市北区,大阪府
27128,大阪市中央区,大阪府
27140,堺市,大阪府
27141,堺市堺区,大阪府
27142,堺市中区,大阪府
27143,堺市東区,大阪府
27144,堺市西区,大阪府
27145,堺市南区,大阪府
27146,堺市北区,大阪府
27147,堺市美原区,大阪府
27202,岸和田市,大阪府
27203,豊中市,大阪府
27204,池田市,大阪府
27205,吹田市,大阪府
27206,泉大津市,大阪府
27207,高槻市,大阪府
27208,貝塚市,大阪府
27209,守口市,大阪府
27210,枚方市,大阪府
27211,茨木市,大阪府
27212,八尾市,大阪府
27213,泉佐野市,大阪府
27214,富田林市,大阪府
27215,寝屋川市,大阪府
27216,河内長野市,大阪府
27217,松原市,大阪府
27218,大東市,大阪府
27219,和泉市,大阪府
27220,箕面市,大阪府
27221,柏原市,大阪府
27222,羽曳野市,大阪府
27223,門真市,大阪府
27224,摂津市,大阪府
27225,高石市,大阪府
27226,藤井寺市,大阪府
27227,東大阪市,大阪府
27228,泉南市,大阪府
27229,四條畷市,大阪府
27230,交野市,大阪府
27231,大阪狭山市,大阪府
27232,阪南市,大阪府
27301,島本町,大阪府
27321,豊能町,大阪府
27322,能勢町,大阪府
27341,忠岡町,大阪府
27361,熊取町,大阪府
27362,田尻町,大阪府
27366,岬町,大阪府
27381,太子町,大阪府
27382,河南町,大阪府
27383,千早赤阪村,大阪府
28100,神戸市,兵庫県
28101,神戸市東灘区,兵庫県
28102,神戸市灘区,兵庫県
28105,神戸市兵庫区,兵庫県
28106,神戸市長田区,兵庫県
28107,神戸市須磨区,兵庫県
28108,神戸市垂水区,兵庫県
28109,神戸市北区,兵庫県
28110,神戸市中央区,兵庫県
28111,神戸市西区,兵庫県
28201,姫路市,兵庫県
28202,尼崎市,兵庫県
28203,明石市,兵庫県
28204,西宮市,兵庫県
28205,洲本市,兵庫県
28206,芦屋市,兵庫県
28207,伊丹市,兵庫県
28208,相生市,兵庫県
28209,豊岡市,兵庫県
28210,加古川市,兵庫県
28212,赤穂市,兵庫県
28213,西脇市,兵庫県
28214,宝塚市,兵庫県
28215,三木市,兵庫県
28216,高砂市,兵庫県
28217,川西市,兵庫県
28218,小野市,兵庫県
28219,三田市,兵庫県
28220,加西市,兵庫県
28221,丹波篠山市,兵庫県
28222,養父市,兵庫県
28223,丹波市,兵庫県
28224,南あわじ市,兵庫県
28225,朝来市,兵庫県
28226,淡路市,兵庫県
28227,宍粟市,兵庫県
28228,加東市,兵庫県
28229,たつの市,兵庫県
28301,猪名川町,兵庫県
28365,多可町,兵庫県
28381,稲美町,兵庫県
28382,播磨町,兵庫県
28442,市川町,兵庫県
28443,福崎町,兵庫県
28446,神河町,兵庫県
28464,太子町,兵庫県
28481,上郡町,兵庫県
28501,佐用町,兵庫県
28585,香美町,兵庫県
28586,新温泉町,兵庫県
29201,奈良市,奈良県
29202,大和高田市,奈良県
29203,大和郡山市,奈良県
29204,天理市,奈良県
29205,橿原市,奈良県
29206,桜井市,奈良県
29207,五條市,奈良県
29208,御所市,奈良県
29209,生駒市,奈良県
29210,香芝市,奈良県
29211,葛城市,奈良県
29212,宇陀市,奈良県
29322,山添村,奈良県
29342,平群町,奈良県
29343,三郷町,奈良県
29344,斑鳩町,奈良県
29345,安堵町,奈良県
29361,川西町,奈良県
29362,三宅町,奈良県
29363,田原本町,奈良県
29385,曽爾村,奈良県
29386,御杖村,奈良県
29401,高取町,奈良県
29402,明日香村,奈良県
29424,上牧町,奈良県
29425,王寺町,奈良県
29426,広陵町,奈良県
29427,河合町,奈良県
29441,吉野町,奈良県
29442,大淀町,奈良県
29443,下市町,奈良県
29444,黒滝村,奈良県
29446,天川村,奈良県
29447,野迫川村,奈良県
29449,十津川村,奈良県
29450,下北山村,奈良県
29451,上北山村,奈良県
29452,川上村,奈良県
29453,東吉野村,奈良県
30201,和歌山市,和歌山県
30202,海南市,和歌山県
30203,橋本市,和歌山県
30204,有田市,和歌山県
30205,御坊市,和歌山県
30206,田辺市,和歌山県
30207,新宮市,和歌山県
30208,紀の川市,和歌山県
30209,岩出市,和歌山県
30304,紀美野町,和歌山県
30341,かつらぎ町,和歌山県
30343,九度山町,和歌山県
30344,高野町,和歌山県
30361,湯浅町,和歌山県
30362,広川町,和歌山県
30366,有田川町,和歌山県
30381,美浜町,和歌山県
30382,日高町,和歌山県
30383,由良町,和歌山県
30390,印南町,和歌山県
30391,みなべ町,和歌山県
30392,日高川町,和歌山県
30401,白浜町,和歌山県
30404,上富田町,和歌山県
30406,すさみ町,和歌山県
30421,那智勝浦町,和歌山県
30422,太地町,和歌山県
30424,古座川町,和歌山県
30427,北山村,和歌山県
30428,串本町,和歌山県
31201,鳥取市,鳥取県
31202,米子市,鳥取県
31203,倉吉市,鳥取県
31204,境港市,鳥取県
31302,岩美町,鳥取県
31325,若桜町,鳥取県
31328,智頭町,鳥取県
31329,八頭町,鳥取県
31364,三朝町,鳥取県
31370,湯梨浜町,鳥取県
31371,琴浦町,鳥取県
31372,北栄町,鳥取県
31384,日吉津村,鳥取県
31386,大山町,鳥取県
31389,南部町,鳥取県
31390,伯耆町,鳥取県
31401,日南町,鳥取県
31402,日野町,鳥取県
31403,江府町,鳥取県
32201,松江市,島根県
32202,浜田市,島根県
32203,出雲市,島根県
32204,益田市,島根県
32205,大田市,島根県
32206,安来市,島根県
32207,江津市,島根県
32209,雲南市,島根県
32343,奥出雲町,島根県
32386,飯南町,島根県
32441,川本町,島根県
32448,美郷町,島根県
32449,邑南町,島根県
32501,津和野町,島根県
32505,吉賀町,島根県
32525,海士町,島根県
32526,西ノ島町,島根県
32527,知夫村,島根県
32528,隠岐の島町,島根県
33100,岡山市,岡山県
33101,岡山市北区,岡山県
33102,岡山市中区,岡山県
33103,岡山市東区,岡山県
33104,岡山市南区,岡山県
33202,倉敷市,岡山県
33203,津山市,岡山県
33204,玉野市,岡山県
33205,笠岡市,岡山県
33207,井原市,岡山県
33208,総社市,岡山県
33209,高梁市,岡山県
33210,新見市,岡山県
33211,備前市,岡山県
33212,瀬戸内市,岡山県
33213,赤磐市,岡山県
33214,真庭市,岡山県
33215,美作市,岡山県
33216,浅口市,岡山県
33346,和気町,岡山県
33423,早島町,岡山県
33445,里庄町,岡山県
33461,矢掛町,岡山県
33586,新庄村,岡山県
33606,鏡野町,岡山県
33622,勝央町,岡山県
33623,奈義町,岡山県
33643,西粟倉村,岡山県
33663,久米南町,岡山県
33666,美咲町,岡山県
33681,吉備中央町,岡山県
34100,広島市,広島県
34101,広島市中区,広島県
34102,広島市東区,広島県
34103,広島市南区,広島県
34104,広島市西区,広島県
34105,広島市安佐南区,広島県
34106,広島市安佐北区,広島県
34107,広島市安芸区,広島県
34108,広島市佐伯区,広島県
34202,呉市,広島県
34203,竹原市,広島県
34204,三原市,広島県
34205,尾道市,広島県
34207,福山市,広島県
34208,府中市,広島県
34209,三次市,広島県
34210,庄原市,広島県
34211,大竹市,広島県
34212,東広島市,広島県
34213,廿日市市,広島県
34214,安芸高田市,広島県
34215,江田島市,広島県
34302,府中町,広島県
34304,海田町,広島県
34307,熊野町,広島県
34309,坂町,広島県
34368,安芸太田町,広島県
34369,北広島町,広島県
34431,大崎上島町,広島県
34462,世羅町,広島県
34545,神石高原町,広島県
35201,下関市,山口県
35202,宇部市,山口県
35203,山口市,山口県
35204,萩市,山口県
35206,防府市,山口県
35207,下松市,山口県
35208,岩国市,山口県
35210,光市,山口県
35211,長門市,山口県
35212,柳井市,山口県
35213,美祢市,山口県
35215,周南市,山口県
35216,山陽小野田市,山口県
35305,周防大島町,山口県
35321,和木町,山口県
35341,上関町,山口県
35343,田布施町,山口県
35344,平生町,山口県
35502,阿武町,山口県
36201,徳島市,徳島県
36202,鳴門市,徳島県
36203,小松島市,徳島県
36204,阿南市,徳島県
36205,吉野川市,徳島県
36206,阿波市,徳島県
36207,美馬市,徳島県
36208,三好市,徳島県
36301,勝浦町,徳島県
36302,上勝町,徳島県
36321,佐那河内村,徳島県
36341,石井町,徳島県
36342,神山町,徳島県
36368,那賀町,徳島県
36383,牟岐町,徳島県
36387,美波町,徳島県
36388,海陽町,徳島県
36401,松茂町,徳島県
36402,北島町,徳島県
36403,藍住町,徳島県
36404,板野町,徳島県
36405,上板町,徳島県
36468,つるぎ町,徳島県
36489,東みよし町,徳島県
37201,高松市,香川県
37202,丸亀市,香川県
37203,坂出市,香川県
37204,善通寺市,香川県
37205,観音寺市,香川県
37206,さぬき市,香川県
37207,東かがわ市,香川県
37208,三豊市,香川県
37322,土庄町,香川県
37324,小豆島町,香川県
37341,三木町,香川県
37364,直島町,香川県
37386,宇多津町,香川県
37387,綾川町,香川県
37403,琴平町,香川県
37404,多度津町,香川県
37406,まんのう町,香川県
38201,松山市,愛媛県
38202,今治市,愛媛県
38203,宇和島市,愛媛県
38204,八幡浜市,愛媛県
38205,新居浜市,愛媛県
38206,西条市,愛媛県
38207,大洲市,愛媛県
38210,伊予市,愛媛県
38213,四国中央市,愛媛県
38214,西予市,愛媛県
38215,東温市,愛媛県
38356,上島町,愛媛県
38386,久万高原町,愛媛県
38401,松前町,愛媛県
38402,砥部町,愛媛県
38422,内子町,愛媛県
38442,伊方町,愛媛県
38484,松野町,愛媛県
38488,鬼北町,愛媛県
38506,愛南町,愛媛県
39201,高知市,高知県
39202,室戸市,高知県
39203,安芸市,高知県
39204,南国市,高知県
39205,土佐市,高知県
39206,須崎市,高知県
39208,宿毛市,高知県
39209,土佐清水市,高知県
39210,四万十市,高知県
39211,香南市,高知県
39212,香美市,高知県
39301,東洋町,高知県
39302,奈半利町,高知県
39303,田野町,高知県
39304,安田町,高知県
39305,北川村,高知県
39306,馬路村,高知県
39307,芸西村,高知県
39341,本山町,高知県
39344,大豊町,高知県
39363,土佐町,高知県
39364,大川村,高知県
39386,いの町,高知県
39387,仁淀川町,高知県
39401,中土佐町,高知県
39402,佐川町,高知県
39403,越知町,高知県
39405,檮原町,高知県
39410,日高村,高知県
39411,津野町,高知県
39412,四万十町,高知県
39424,大月町,高知県
39427,三原村,高知県
39428,黒潮町,高知県
40100,北九州市,福岡県
40101,北九州市門司区,福岡県
40103,北九州市若松区,福岡県
40105,北九州市戸畑区,福岡県
40106,北九州市小倉北区,福岡県
40107,北九州市小倉南区,福岡県
40108,北九州市八幡東区,福岡県
40109,北九州市八幡西区,福岡県
40130,福岡市,福岡県
40131,福岡市東区,福岡県
40132,福岡市博多区,福岡県
40133,福岡市中央区,福岡県
40134,福岡市南区,福岡県
40135,福岡市西区,福岡県
40136,福岡市城南区,福岡県
40137,福岡市早良区,福岡県
40202,大牟田市,福岡県
40203,久留米市,福岡県
40204,直方市,福岡県
40205,飯塚市,福岡県
40206,田川市,福岡県
40207,柳川市,福岡県
40210,八女市,福岡県
40211,筑後市,福岡県
40212,大川市,福岡県
40213,行橋市,福岡県
40214,豊前市,福岡県
40215,中間市,福岡県
40216,小郡市,福岡県
40217,筑紫野市,福岡県
40218,春日市,福岡県
40219,大野城市,福岡県
40220,宗像市,福岡県
40221,太宰府市,福岡県
40223,古賀市,福岡県
40224,福津市,福岡県
40225,うきは市,福岡県
40226,宮若市,福岡県
40227,嘉麻市,福岡県
40228,朝倉市,福岡県
40229,みやま市,福岡県
40230,糸島市,福岡県
40231,那珂川市,福岡県
40341,宇美町,福岡県
40342,篠栗町,福岡県
40343,志免町,福岡県
40344,須恵町,福岡県
40345,新宮町,福岡県
40348,久山町,福岡県
40349,粕屋町,福岡県
40381,芦屋町,福岡県
40382,水巻町,福岡県
40383,岡垣町,福岡県
40384,遠賀町,福岡県
40401,小竹町,福岡県
40402,鞍手町,福岡県
40421,桂川町,福岡県
40447,筑前町,福岡県
40448,東峰村,福岡県
40503,大刀洗町,福岡県
40522,大木町,福岡県
40544,広川町,福岡県
40601,香春町,福岡県
40602,添田町,福岡県
40604,糸田町,福岡県
40605,川崎町,福岡県
40608,大任町,福岡県
40609,赤村,福岡県
40610,福智町,福岡県
40621,苅田町,福岡県
40625,みやこ町,福岡県
40642,吉富町,福岡県
40646,上毛町,福岡県
40647,築上町,福岡県
41201,佐賀市,佐賀県
41202,唐津市,佐賀県
41203,鳥栖市,佐賀県
41204,多久市,佐賀県
41205,伊万里市,佐賀県
41206,武雄市,佐賀県
41207,鹿島市,佐賀県
41208,小城市,佐賀県
41209,嬉野市,佐賀県
41210,神埼市,佐賀県
41327,吉野ヶ里町,佐賀県
41341,基山町,佐賀県
41345,上峰町,佐賀県
41346,みやき町,佐賀県
41387,玄海町,佐賀県
41401,有田町,佐賀県
41423,大町町,佐賀県
41424,江北町,佐賀県
41425,白石町,佐賀県
41441,太良町,佐賀県
42201,長崎市,長崎県
42202,佐世保市,長崎県
42203,島原市,長崎県
42204,諫早市,長崎県
42205,大村市,長崎県
42207,平戸市,長崎県
42208,松浦市,長崎県
42209,対馬市,長崎県
42210,壱岐市,長崎県
42211,五島市,長崎県
42212,西海市,長崎県
42213,雲仙市,長崎県
42214,南島原市,長崎県
42307,長与町,長崎県
42308,時津町,長崎県
42321,東彼杵町,長崎県
42322,川棚町,長崎県
42323,波佐見町,長崎県
42383,小値賀町,長崎県
42391,佐々町,長崎県
42411,新上五島町,長崎県
43100,熊本市,熊本県
43101,熊本市中央区,熊本県
43102,熊本市東区,熊本県
43103,熊本市西区,熊本県
43104,熊本市南区,熊本県
43105,熊本市北区,熊本県
43202,八代市,熊本県
43203,人吉市,熊本県
43204,荒尾市,熊本県
43205,水俣市,熊本県
43206,玉名市,熊本県
43208,山鹿市,熊本県
43210,菊池市,熊本県
43211,宇土市,熊本県
43212,上天草市,熊本県
43213,宇城市,熊本県
43214,阿蘇市,熊本県
43215,天草市,熊本県
43216,合志市,熊本県
43348,美里町,熊本県
43364,玉東町,熊本県
43367,南関町,熊本県
43368,長洲町,熊本県
43369,和水町,熊本県
43403,大津町,熊本県
43404,菊陽町,熊本県
43423,南小国町,熊本県
43424,小国町,熊本県
43425,産山村,熊本県
43428,高森町,熊本県
43432,西原村,熊本県
43433,南阿蘇村,熊本県
43441,御船町,熊本県
43442,嘉島町,熊本県
43443,益城町,熊本県
43444,甲佐町,熊本県
43447,山都町,熊本県
43468,氷川町,熊本県
43482,芦北町,熊本県
43484,津奈木町,熊本県
43501,錦町,熊本県
43505,多良木町,熊本県
43506,湯前町,熊本県
43507,水上村,熊本県
43510,相良村,熊本県
43511,五木村,熊本県
43512,山江村,熊本県
43513,球磨村,熊本県
43514,あさぎり町,熊本県
43531,苓北町,熊本県
44201,大分市,大分県
44202,別府市,大分県
44203,中津市,大分県
44204,日田市,大分県
44205,佐伯市,大分県
44206,臼杵市,大分県
44207,津久見市,大分県
44208,竹田市,大分県
44209,豊後高田市,大分県
44210,杵築市,大分県
44211,宇佐市,大分県
44212,豊後大野市,大分県
44213,由布市,大分県
44214,国東市,大分県
44322,姫島村,大分県
44341,日出町,大分県
44461,九重町,大分県
44462,玖珠町,大分県
45201,宮崎市,宮崎県
45202,都城市,宮崎県
45203,延岡市,宮崎県
45204,日南市,宮崎県
45205,小林市,宮崎県
45206,日向市,宮崎県
45207,串間市,宮崎県
45208,西都市,宮崎県
45209,えびの市,宮崎県
45341,三股町,宮崎県
45361,高原町,宮崎県
45382,国富町,宮崎県
45383,綾町,宮崎県
45401,高鍋町,宮崎県
45402,新富町,宮崎県
45403,西米良村,宮崎県
45404,木城町,宮崎県
45405,川南町,宮崎県
45406,都農町,宮崎県
45421,門川町,宮崎県
45429,諸塚村,宮崎県
45430,椎葉村,宮崎県
45431,美郷町,宮崎県
45441,高千穂町,宮崎県
45442,日之影町,宮崎県
45443,五ヶ瀬町,宮崎県
46201,鹿児島市,鹿児島県
46203,鹿屋市,鹿児島県
46204,枕崎市,鹿児島県
46206,阿久根市,鹿児島県
46208,出水市,鹿児島県
46210,指宿市,鹿児島県
46213,西之表市,鹿児島県
46214,垂水市,鹿児島県
46215,薩摩川内市,鹿児島県
46216,日置市,鹿児島県
46217,曽於市,鹿児島県
46218,霧島市,鹿児島県
46219,いちき串木野市,鹿児島県
46220,南さつま市,鹿児島県
46221,志布志市,鹿児島県
46222,奄美市,鹿児島県
46223,南九州市,鹿児島県
46224,伊佐市,鹿児島県
46225,姶良市,鹿児島県
46303,三島村,鹿児島県
46304,十島村,鹿児島県
46392,さつま町,鹿児島県
46404,長島町,鹿児島県
46452,湧水町,鹿児島県
46468,大崎町,鹿児島県
46482,東串良町,鹿児島県
46490,錦江町,鹿児島県
46491,南大隅町,鹿児島県
46492,肝付町,鹿児島県
46501,中種子町,鹿児島県
46502,南種子町,鹿児島県
46505,屋久島町,鹿児島県
46523,大和村,鹿児島県
46524,宇検村,鹿児島県
46525,瀬戸内町,鹿児島県
46527,龍郷町,鹿児島県
46529,喜界町,鹿児島県
46530,徳之島町,鹿児島県
46531,天城町,鹿児島県
46532,伊仙町,鹿児島県
46533,和泊町,鹿児島県
46534,知名町,鹿児島県
46535,与論町,鹿児島県
47201,那覇市,沖縄県
47205,宜野湾市,沖縄県
47207,石垣市,沖縄県
47208,浦添市,沖縄県
47209,名護市,沖縄県
47210,糸満市,沖縄県
47211,沖縄市,沖縄県
47212,豊見城市,沖縄県
47213,うるま市,沖縄県
47214,宮古島市,沖縄県
47215,南城市,沖縄県
47301,国頭村,沖縄県
47302,大宜味村,沖縄県
47303,東村,沖縄県
47306,今帰仁村,沖縄県
47308,本部町,沖縄県
47311,恩納村,沖縄県
47313,宜野座村,沖縄県
47314,金武町,沖縄県
47315,伊江村,沖縄県
47324,読谷村,沖縄県
47325,嘉手納町,沖縄県
47326,北谷町,沖縄県
47327,北中城村,沖縄県
47328,中城村,沖縄県
47329,西原町,沖縄県
47348,与那原町,沖縄県
47350,南風原町,沖縄県
47353,渡嘉敷村,沖縄県
47354,座間味村,沖縄県
47355,粟国村,沖縄県
47356,渡名喜村,沖縄県
47357,南大東村,沖縄県
47358,北大東村,沖縄県
47359,伊平屋村,沖縄県
47360,伊是名村,沖縄県
47361,久米島町,沖縄県
47362,八重瀬町,沖縄県
47375,多良間村,沖縄県
47381,竹富町,沖縄県
47382,与那国町,沖縄県
... 合計 1918 件
